t,tube_x,tube_y,string_x,string_y,arm1_x,arm1_y,arm2_x,arm2_y
5.193580E0,7.117453E0,8.568034E0,3.503245E1,6.614434E0,4.091571E1,3.178706E0,5.462862E1,1.022682E1
5.226872E0,7.116950E0,8.568413E0,3.503298E1,6.615929E0,4.091591E1,3.179272E0,5.462698E1,1.022807E1
5.260165E0,7.117932E0,8.568773E0,3.503330E1,6.616015E0,4.091612E1,3.180425E0,5.464271E1,1.020852E1
5.293457E0,7.117474E0,8.568596E0,3.503396E1,6.614309E0,4.091773E1,3.175481E0,5.463867E1,1.019688E1
5.326749E0,7.117475E0,8.568122E0,3.503463E1,6.612996E0,4.091880E1,3.172937E0,5.463768E1,1.018101E1
5.360041E0,7.117379E0,8.568083E0,3.503438E1,6.614593E0,4.091878E1,3.174879E0,5.463317E1,1.017536E1
5.393333E0,7.117424E0,8.567915E0,3.503364E1,6.615819E0,4.091877E1,3.176875E0,5.462946E1,1.017233E1
5.426626E0,7.118383E0,8.567669E0,3.503356E1,6.615701E0,4.091837E1,3.178022E0,5.463141E1,1.016882E1
5.459918E0,7.118439E0,8.567682E0,3.503224E1,6.615659E0,4.091770E1,3.178714E0,5.462982E1,1.016593E1
5.493210E0,7.118364E0,8.567677E0,3.503208E1,6.615432E0,4.091789E1,3.178772E0,5.463149E1,1.016353E1
5.526502E0,7.118301E0,8.567641E0,3.503172E1,6.615505E0,4.091764E1,3.179868E0,5.463314E1,1.016266E1
5.559794E0,7.118083E0,8.567544E0,3.502973E1,6.615231E0,4.091647E1,3.180227E0,5.463061E1,1.016027E1
5.593086E0,7.115361E0,8.565283E0,3.502829E1,6.615107E0,4.091538E1,3.180245E0,5.462862E1,1.015953E1
5.626379E0,7.125710E0,8.564208E0,3.501854E1,6.619709E0,4.091162E1,3.178411E0,5.461498E1,1.016669E1
5.659671E0,7.141441E0,8.564450E0,3.499182E1,6.625678E0,4.088673E1,3.171768E0,5.458495E1,1.021339E1
5.692963E0,7.136038E0,8.562226E0,3.529108E1,6.656559E0,4.085072E1,3.233683E0,5.447704E1,1.038437E1
5.726255E0,7.102660E0,8.531485E0,3.510633E1,6.618221E0,4.078979E1,3.326327E0,5.432082E1,1.066406E1
5.759547E0,7.059601E0,8.524932E0,3.510580E1,6.692225E0,4.073452E1,3.414124E0,5.412966E1,1.101644E1
5.792840E0,6.998191E0,8.500846E0,3.488378E1,6.690622E0,4.066127E1,3.532084E0,5.390351E1,1.140025E1
5.826132E0,6.910377E0,8.497588E0,3.473470E1,6.837563E0,4.058422E1,3.674170E0,5.362027E1,1.186303E1
5.859424E0,6.788353E0,8.482722E0,3.454943E1,6.873230E0,4.048676E1,3.871045E0,5.326907E1,1.244393E1
5.892716E0,6.611612E0,8.487134E0,3.425260E1,6.982100E0,4.032652E1,4.151417E0,5.279247E1,1.320845E1
5.926008E0,6.450915E0,8.475723E0,3.384478E1,7.090168E0,4.014719E1,4.465318E0,5.214846E1,1.416006E1
5.959300E0,6.158302E0,8.419111E0,3.339941E1,7.271974E0,3.985357E1,4.921408E0,5.124799E1,1.535758E1
5.992593E0,5.897542E0,8.331552E0,3.288031E1,7.416244E0,3.948505E1,5.344695E0,5.013300E1,1.655693E1
6.025885E0,5.626651E0,8.361226E0,3.239901E1,7.449773E0,3.917545E1,5.602037E0,4.930187E1,1.731453E1
6.059177E0,5.507564E0,8.369467E0,3.221400E1,7.448437E0,3.908784E1,5.633884E0,4.896357E1,1.757236E1
6.092469E0,5.482931E0,8.377717E0,3.216441E1,7.448814E0,3.903907E1,5.619537E0,4.888913E1,1.758901E1
6.125761E0,5.451491E0,8.365511E0,3.202872E1,7.484104E0,3.897357E1,5.633715E0,4.872357E1,1.769361E1
6.159053E0,5.411773E0,8.356565E0,3.197376E1,7.486221E0,3.890896E1,5.691816E0,4.855955E1,1.782997E1
6.192346E0,5.374698E0,8.337354E0,3.195431E1,7.483973E0,3.889343E1,5.687760E0,4.853503E1,1.783493E1
6.225638E0,5.368106E0,8.334403E0,3.195373E1,7.484319E0,3.889283E1,5.685998E0,4.855136E1,1.782843E1
6.258930E0,5.370097E0,8.332239E0,3.195616E1,7.490271E0,3.889267E1,5.685851E0,4.856006E1,1.782513E1
6.292222E0,5.372229E0,8.330767E0,3.195656E1,7.488739E0,3.889334E1,5.685726E0,4.856516E1,1.782233E1
6.325514E0,5.369736E0,8.330778E0,3.195577E1,7.488218E0,3.889342E1,5.686099E0,4.857083E1,1.782070E1
6.358807E0,5.371901E0,8.331440E0,3.195816E1,7.489402E0,3.889431E1,5.685836E0,4.857463E1,1.782004E1
6.392099E0,5.371663E0,8.331889E0,3.195973E1,7.489915E0,3.889457E1,5.685864E0,4.857581E1,1.781878E1
6.425391E0,5.372646E0,8.330960E0,3.195882E1,7.488823E0,3.889486E1,5.685941E0,4.857631E1,1.781795E1
6.458683E0,5.372974E0,8.330867E0,3.195956E1,7.488706E0,3.889573E1,5.686871E0,4.857942E1,1.781712E1
6.491975E0,5.374906E0,8.330078E0,3.196042E1,7.488697E0,3.889566E1,5.686640E0,4.858103E1,1.781773E1
6.525267E0,5.375277E0,8.329727E0,3.196195E1,7.488851E0,3.889525E1,5.686677E0,4.858465E1,1.781606E1
6.558560E0,5.375693E0,8.329500E0,3.196078E1,7.487730E0,3.889541E1,5.686509E0,4.858746E1,1.781806E1
6.591852E0,5.376175E0,8.329614E0,3.196137E1,7.488273E0,3.889623E1,5.686664E0,4.858913E1,1.781523E1
6.625144E0,5.373878E0,8.332087E0,3.196210E1,7.488646E0,3.889705E1,5.686927E0,4.859213E1,1.781254E1
6.658436E0,5.373309E0,8.332297E0,3.196377E1,7.490059E0,3.890158E1,5.686649E0,4.858953E1,1.781286E1
6.691728E0,5.374812E0,8.332754E0,3.196533E1,7.490807E0,3.890109E1,5.687053E0,4.859549E1,1.780786E1
6.725021E0,5.377891E0,8.333917E0,3.196726E1,7.491542E0,3.890281E1,5.688233E0,4.860202E1,1.780587E1
6.758313E0,5.376897E0,8.332959E0,3.196943E1,7.490967E0,3.890430E1,5.688693E0,4.859715E1,1.780403E1
6.791605E0,5.377081E0,8.332277E0,3.198091E1,7.491076E0,3.891204E1,5.687096E0,4.862047E1,1.779399E1
6.824897E0,5.377972E0,8.331736E0,3.198486E1,7.490457E0,3.891535E1,5.685905E0,4.865337E1,1.779059E1
6.858189E0,5.382630E0,8.332379E0,3.198532E1,7.490215E0,3.892160E1,5.683123E0,4.867743E1,1.778515E1
6.891481E0,5.384199E0,8.332585E0,3.198646E1,7.489951E0,3.892015E1,5.684508E0,4.868171E1,1.778236E1
6.924774E0,5.390999E0,8.334289E0,3.198938E1,7.489949E0,3.892274E1,5.685955E0,4.871103E1,1.778458E1
6.958066E0,5.389483E0,8.333742E0,3.199186E1,7.488143E0,3.892523E1,5.672972E0,4.874664E1,1.776098E1
6.991358E0,5.389194E0,8.332885E0,3.201857E1,7.489319E0,3.895054E1,5.668019E0,4.877228E1,1.772471E1
7.024650E0,5.390792E0,8.333689E0,3.202957E1,7.489301E0,3.896186E1,5.667452E0,4.879277E1,1.772429E1
7.057942E0,5.392033E0,8.333859E0,3.232474E1,7.486241E0,3.897159E1,5.673147E0,4.880247E1,1.772229E1
7.091235E0,5.391072E0,8.334276E0,3.204304E1,7.490437E0,3.897480E1,5.676621E0,4.883695E1,1.770128E1
7.124527E0,5.392299E0,8.334494E0,3.204963E1,7.490666E0,3.899009E1,5.674967E0,4.888538E1,1.766271E1
7.157819E0,5.393634E0,8.334336E0,3.204974E1,7.490435E0,3.899101E1,5.675143E0,4.890811E1,1.764780E1
7.191111E0,5.394167E0,8.334347E0,3.204937E1,7.490494E0,3.898939E1,5.677263E0,4.894036E1,1.764141E1
7.224403E0,5.389868E0,8.332805E0,3.243548E1,7.524045E0,3.899488E1,5.679959E0,4.897941E1,1.761497E1
7.257695E0,5.393546E0,8.333582E0,3.205485E1,7.490909E0,3.900041E1,5.662226E0,4.902957E1,1.759606E1
7.290988E0,5.398237E0,8.338033E0,3.205019E1,7.491027E0,3.903838E1,5.665217E0,4.904491E1,1.756625E1
7.324280E0,5.404054E0,8.342487E0,3.204979E1,7.491578E0,3.904973E1,5.666352E0,4.908884E1,1.754334E1
7.357572E0,5.398631E0,8.339803E0,3.204445E1,7.490464E0,3.905386E1,5.668003E0,4.910062E1,1.752949E1
7.390864E0,5.394742E0,8.337843E0,3.204211E1,7.489800E0,3.905612E1,5.670754E0,4.911764E1,1.751705E1
7.424156E0,5.399854E0,8.337662E0,3.204167E1,7.489311E0,3.906206E1,5.670376E0,4.914464E1,1.749381E1
7.457449E0,5.397206E0,8.336577E0,3.204207E1,7.489294E0,3.906655E1,5.670796E0,4.917356E1,1.749330E1
7.490741E0,5.398022E0,8.335685E0,3.204433E1,7.488822E0,3.907075E1,5.672457E0,4.920532E1,1.746111E1
